Iter = 1, PhenoGraph_k = 30, complete_graph (percentile=95,k=10), Overall Survival, Number of Groups = 5, p-value = 0.00117
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=75,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02269
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=70,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.04617
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=65,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.01096
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=60,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01666
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=55,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.01814
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=50,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.01515
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 11, p-value = 0.05360
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 12, p-value = 0.20751
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 11, p-value = 0.02885
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=15), Disease-specific Survival, Number of Groups = 10, p-value = 0.09666
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=20), Disease-specific Survival, Number of Groups = 10, p-value = 0.02490
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=25), Disease-specific Survival, Number of Groups = 8, p-value = 0.08131
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=30), Disease-specific Survival, Number of Groups = 8, p-value = 0.15858
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 10, p-value = 0.17284
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 10, p-value = 0.04661
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.13788
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=15), Disease-specific Survival, Number of Groups = 8, p-value = 0.07319
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=20), Disease-specific Survival, Number of Groups = 7, p-value = 0.10353
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=25), Disease-specific Survival, Number of Groups = 7, p-value = 0.12095
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=30), Disease-specific Survival, Number of Groups = 7, p-value = 0.04103
Iter = 1, PhenoGraph_k = 30, complete_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.02460
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.19006
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=90,k=10), Relapse-free Survival, Number of Groups = 9, p-value = 0.07240
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=85,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.04430
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=80,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.01410
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=75,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.06301
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=70,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.01134
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=65,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.00386
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=60,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.00388
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=55,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.01361
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=50,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.03763
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 11, p-value = 0.06072
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 12, p-value = 0.05730
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 11, p-value = 0.04253
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 10, p-value = 0.07662
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 10, p-value = 0.01471
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 8, p-value = 0.02428
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 8, p-value = 0.06741
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 10, p-value = 0.19763
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 10, p-value = 0.04615
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.03772
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 8, p-value = 0.01012
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 7, p-value = 0.04398
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 7, p-value = 0.07795
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 7, p-value = 0.01015
Iter = 1, PhenoGraph_k = 100, complete_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05740
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.05154
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=90,k=10), Relapse-free Survival, Number of Groups = 9, p-value = 0.11040
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=85,k=10), Relapse-free Survival, Number of Groups = 8, p-value = 0.07777
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=80,k=10), Relapse-free Survival, Number of Groups = 7, p-value = 0.03868
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=75,k=10), Relapse-free Survival, Number of Groups = 7, p-value = 0.09622
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=70,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.04074
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=65,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05350
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=60,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05882
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=55,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05952
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=50,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.06227
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 10, p-value = 0.02969
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 11, p-value = 0.09294
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 11, p-value = 0.25749
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 9, p-value = 0.04496
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 9, p-value = 0.17895
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 9, p-value = 0.29785
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 9, p-value = 0.19874
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 11, p-value = 0.12142
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 9, p-value = 0.07630
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.17951
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 9, p-value = 0.15412
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 8, p-value = 0.07610
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 8, p-value = 0.10017
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 7, p-value = 0.08215
Iter = 1, PhenoGraph_k = 100, complete_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01788
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.03235
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=90,k=10), Disease-specific Survival, Number of Groups = 9, p-value = 0.00627
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=85,k=10), Disease-specific Survival, Number of Groups = 8, p-value = 0.01396
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=80,k=10), Disease-specific Survival, Number of Groups = 7, p-value = 0.00572
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=75,k=10), Disease-specific Survival, Number of Groups = 7, p-value = 0.02987
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=70,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02626
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=65,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02116
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=60,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.03889
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=55,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.03838
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=50,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01950
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 10, p-value = 0.02127
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 11, p-value = 0.04685
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 11, p-value = 0.11916
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=15), Disease-specific Survival, Number of Groups = 9, p-value = 0.02840
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=20), Disease-specific Survival, Number of Groups = 9, p-value = 0.05322
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=25), Disease-specific Survival, Number of Groups = 9, p-value = 0.12736
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=30), Disease-specific Survival, Number of Groups = 9, p-value = 0.01707
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 11, p-value = 0.16181
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 9, p-value = 0.05960
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.06806
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=15), Disease-specific Survival, Number of Groups = 9, p-value = 0.05830
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=20), Disease-specific Survival, Number of Groups = 8, p-value = 0.07667
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=25), Disease-specific Survival, Number of Groups = 8, p-value = 0.07683
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=30), Disease-specific Survival, Number of Groups = 7, p-value = 0.06006
Iter = 1, PhenoGraph_k = 100, complete_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05740
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.05154
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=90,k=10), Relapse-free Survival, Number of Groups = 9, p-value = 0.11040
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=85,k=10), Relapse-free Survival, Number of Groups = 8, p-value = 0.07777
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=80,k=10), Relapse-free Survival, Number of Groups = 7, p-value = 0.03868
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=75,k=10), Relapse-free Survival, Number of Groups = 7, p-value = 0.09622
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=70,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.04074
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=65,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05350
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=60,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05882
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=55,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.05952
Iter = 1, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=50,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.06227
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 10, p-value = 0.02969
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 11, p-value = 0.09294
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 11, p-value = 0.25749
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 9, p-value = 0.04496
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 9, p-value = 0.17895
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 9, p-value = 0.29785
Iter = 1, PhenoGraph_k = 100, knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 9, p-value = 0.19874
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 11, p-value = 0.12142
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 9, p-value = 0.07630
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.17951
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 9, p-value = 0.15412
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 8, p-value = 0.07610
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 8, p-value = 0.10017
Iter = 1, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 7, p-value = 0.08215
Iter = 2, PhenoGraph_k = 100, complete_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.10519
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.02198
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=90,k=10), Relapse-free Survival, Number of Groups = 9, p-value = 0.00485
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=85,k=10), Relapse-free Survival, Number of Groups = 7, p-value = 0.03361
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=80,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.01240
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=75,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.01179
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=70,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.00319
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=65,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.01020
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=60,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.00680
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=55,k=10), Relapse-free Survival, Number of Groups = 6, p-value = 0.00850
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=50,k=10), Relapse-free Survival, Number of Groups = 5, p-value = 0.00391
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 11, p-value = 0.10143
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 10, p-value = 0.13358
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.03177
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 10, p-value = 0.01931
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 10, p-value = 0.03535
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 10, p-value = 0.02829
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 9, p-value = 0.06396
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=3), Relapse-free Survival, Number of Groups = 10, p-value = 0.00529
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=5), Relapse-free Survival, Number of Groups = 10, p-value = 0.01326
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=10), Relapse-free Survival, Number of Groups = 10, p-value = 0.10224
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=15), Relapse-free Survival, Number of Groups = 10, p-value = 0.02658
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=20), Relapse-free Survival, Number of Groups = 10, p-value = 0.02253
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=25), Relapse-free Survival, Number of Groups = 8, p-value = 0.00231
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=30), Relapse-free Survival, Number of Groups = 7, p-value = 0.00554
Iter = 2, PhenoGraph_k = 100, complete_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01253
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.05502
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=90,k=10), Disease-specific Survival, Number of Groups = 9, p-value = 0.00993
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=85,k=10), Disease-specific Survival, Number of Groups = 7, p-value = 0.03815
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=80,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01971
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=75,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.03367
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=70,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.02969
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=65,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.03189
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=60,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02662
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=55,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.01906
Iter = 2, PhenoGraph_k = 100, complete_graph_with_weak_edges_removed (percentile=50,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.03036
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 11, p-value = 0.13929
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 10, p-value = 0.10324
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.17498
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=15), Disease-specific Survival, Number of Groups = 10, p-value = 0.21589
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=20), Disease-specific Survival, Number of Groups = 10, p-value = 0.06900
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=25), Disease-specific Survival, Number of Groups = 10, p-value = 0.03316
Iter = 2, PhenoGraph_k = 100, knn_graph (percentile=95,k=30), Disease-specific Survival, Number of Groups = 9, p-value = 0.04997
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=3), Disease-specific Survival, Number of Groups = 10, p-value = 0.03850
Iter = 2, PhenoGraph_k = 100, two_step_knn_graph (percentile=95,k=5), Disease-specific Survival, Number of Groups = 10, p-value = 0.16740
